ASDAGE,ASRREA,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ASBH16,ACBG14F,ACBG14G,ACBG14K,ACBG14M,ACBG14N,ACBG20,ACBG21B,ACBG21C,ACBG21F,ATBG05BE,ATBG05BJ,ATBG07BC,ATBG07BF,ATBG08B,ATBG09A,ATBG09D,ATBR06C,ATBR07BC,ATBR08A,ATBR08G,ATBR09B,ATBR09D,ATBR09E,ATBR09G,ATBR09I,ATBR10E,ATBR10G,ATBR10H,ATBR10I,ATBR11D,ATBR12A,ATBR12BB,ATBR13B,ATBR13C,ATBR17A,ATBR17B,ATBR18D,cluster,cluster_pred
9.92,576.670142,10.12086,9.82079,9.85265,10.0428,10.57259,9.61297,7.84162,10.89263,11.17158,10.1163,10.445390000000002,12.13203,8.67085,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,6,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,0,0
10.25,556.094832,9.25019,8.64972,10.28695,10.66007,10.98651,9.86291,9.399640000000002,12.29825,13.04932,9.65595,13.91988,7.35062,10.8815,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,6,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,0,0
10.25,554.019634,7.90958,9.82079,12.567489999999998,10.0428,12.18062,7.68295,9.399640000000002,10.22238,9.65449,7.029620000000001,5.8372,8.994789999999998,7.8339,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,2,2
10.08,619.2052879999999,7.453760000000001,9.15299,10.965,10.0428,9.60657,11.30153,10.90567,12.29825,12.27791,7.93271,11.18387,8.994789999999998,11.399,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,4,4
9.83,619.3429619999999,8.55821,9.15299,12.567489999999998,8.54449,10.57259,8.04592,9.399640000000002,10.89263,11.17158,8.57506,13.91988,12.13203,9.58447,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,4,4
9.75,550.690378,9.25019,12.852619999999998,12.567489999999998,11.54818,9.30655,11.30153,9.0457,9.60729,9.3078,8.57506,10.10135,7.91212,8.45942,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,2,2
9.67,578.699636,9.00789,10.82106,12.567489999999998,10.0428,8.6804,8.7748,8.428240000000002,10.89263,11.17158,9.2165,13.91988,6.80582,9.58447,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,6,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,4,4
9.58,546.018454,7.20676,7.24879,12.567489999999998,9.1701,10.98651,7.47545,8.72693,10.543369999999998,10.34719,10.3576,10.801940000000002,8.994789999999998,8.45942,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,0,0
9.75,666.5619260000001,7.453760000000001,8.64972,10.965,13.33453,10.21804,9.86291,10.90567,14.50919,12.27791,7.714189999999999,12.79881,7.35062,8.67085,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,4,4
10.08,612.3311160000001,8.12699,9.82079,12.567489999999998,9.56347,8.62584,10.14141,10.90567,11.74392,11.68007,9.2165,10.10135,8.994789999999998,8.88647,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,4,4
